NBA,3593,Bojan,Bogdanovic,Bojan Bogdanovic,BKN,Brooklyn Nets,4500,SG,44
NBA,2530750,Markel,Brown,Markel Brown,BKN,Brooklyn Nets,4500,SG,22
NBA,2490144,Brandon,Davies,Brandon Davies,BKN,Brooklyn Nets,4500,PF,20
NBA,261,Kevin,Garnett,Kevin Garnett,BKN,Brooklyn Nets,4500,PF,2
NBA,2768,Jarrett,Jack,Jarrett Jack,BKN,Brooklyn Nets,4500,PG,0
NBA,2488845,Cory,Jefferson,Cory Jefferson,BKN,Brooklyn Nets,4500,PF,21
NBA,1007,Joe,Johnson,Joe Johnson,BKN,Brooklyn Nets,4500,SF,7
NBA,4280,Jerome,Jordan,Jerome Jordan,BKN,Brooklyn Nets,4500,C,9
NBA,2959745,Sergey,Karasev,Sergey Karasev,BKN,Brooklyn Nets,4500,SG,10
NBA,3448,Brook,Lopez,Brook Lopez,BKN,Brooklyn Nets,4500,C,11
NBA,6463,Darius,Morris,Darius Morris,BKN,Brooklyn Nets,4500,PG,14
NBA,2488653,Mason,Plumlee,Mason Plumlee,BKN,Brooklyn Nets,4500,C,1
NBA,4385,Mirza,Teletovic,Mirza Teletovic,BKN,Brooklyn Nets,4500,PF,33
NBA,2798,Deron,Williams,Deron Williams,BKN,Brooklyn Nets,4500,PG,8
NBA,6576,Quincy,Acy,Quincy Acy,NY,New York Knicks,4500,SF,4
NBA,4267,Cole,Aldrich,Cole Aldrich,NY,New York Knicks,4500,C,45
NBA,1975,Carmelo,Anthony,Carmelo Anthony,NY,New York Knicks,4500,SF,7
NBA,2987,Andrea,Bargnani,Andrea Bargnani,NY,New York Knicks,4500,C,77
NBA,2806,Jose,Calderon,Jose Calderon,NY,New York Knicks,4500,PG,3
NBA,991,Samuel,Dalembert,Samuel Dalembert,NY,New York Knicks,4500,C,11
NBA,2991227,Cleanthony,Early,Cleanthony Early,NY,New York Knicks,4500,SF,17
NBA,2528210,Tim,Hardaway Jr.,Tim Hardaway Jr.,NY,New York Knicks,4500,SG,5
NBA,2596158,Shane,Larkin,Shane Larkin,NY,New York Knicks,4500,PG,0
NBA,4182,Pablo,Prigioni,Pablo Prigioni,NY,New York Knicks,4500,PG,9
NBA,6468,Iman,Shumpert,Iman Shumpert,NY,New York Knicks,4500,SG,21
NBA,2444,J.R.,Smith,J.R. Smith,NY,New York Knicks,4500,SG,8
NBA,3232,Jason,Smith,Jason Smith,NY,New York Knicks,4500,C,14
NBA,1727,Amar'e,Stoudemire,Amar'e Stoudemire,NY,New York Knicks,4500,PF,1
NBA,2488674,Travis,Wear,Travis Wear,NY,New York Knicks,4500,SF,6
