espn_id,full_name,salary,position,team_id
,"Jacob Schum",4500,"P","NYJ"
,"Courtney Bridget Jr.",4500,"CB","WAS"
,"Jerome Cunningham",4500,"TE","NYG"
,"Glenn Winston",4500,"RB","CLE"
,"Jeremiah Warren",4500,"OL","TB"
,"Louis Nix",4500,"DT","HOU"
,"L.P. LaDouceur",4500,"LS","DAL"
,"James Davidson",4500,"LB","NYG"
,"James Morris",4500,"LB","NE"
,"C.J. Goodwin",4500,"WR","PIT"
,"Matt Conrath",4500,"DT","STL"
,"L.J. McCray",4500,"DB","SF"
,"Charles Godfrey",4500,"FS","ATL"
,"Ryan Otten",4500,"TE","MIN"
,"Thad Lewis",4500,"QB","HOU"
,"Demarcus Lawrence",4500,"DE","DAL"
,"Nic Jacobs",4500,"TE","JAC"
,"Michael Flacco",4500,"TE","JAC"
,"J.C. Tretter",4500,"T","GB"
,"Connor Barth",4500,"K","DEN"
,"Trevin Wade",4500,"CB","DET"
,"Jerrell Harris",4500,"OLB","DET"
,"Eric Pinkins",4500,"SAF","SEA"
,"Jeremy Deering",4500,"SAF","JAC"
,"Dashaun Phillips",4500,"CB","NYJ"
,"Kevin Brock",4500,"TE","CIN"
,"Keith Lewis",4500,"CB","NYJ"
,"Kenny Phillips",4500,"SAF","NO"
,"Kimario McFadden",4500,"SAF","CAR"
,"Tyler McDonald",4500,"WR","MIA"
,"Colin Jones",4500,"SAF","CAR"
,"Cameron Fuller",4500,"CB","SF"
,"Devon Wylie",4500,"WR","STL"
,"Jamon Meredith",4500,"OT","TEN"
,"Pat Scales",4500,"LS","BAL"
,"Chris Owusu",4500,"WR","NYJ"
,"Roman Harper",4500,"SAF","CAR"
,"TJ Carrie",4500,"CB","OAK"
,"Todd Davis",4500,"MLB","DEN"
,"Chaz Sutton",4500,"DE","TEN"
,"Jon Weeks",4500,"LS","HOU"
,"Da'Mon Cromartie-Smith",4500,"SAF","WAS"
,"Zachary Orr",4500,"LB","BAL"
,"Dion Bailey",4500,"SAF","SEA"
,"Ricky Stanzi",4500,"QB","HOU"
,"Seth Lobato",4500,"QB","TB"
,"Bell Braylon",4500,"WR","WAS"
,"Chase Dixon",4500,"TE","WAS"
,"Adam Schiltz",4500,"TE","KC"
,"Brandon Coleman",4500,"WR","NO"
,"Robert Lester",4500,"SAF","CAR"
,"Devonta Glover-Wright",4500,"CB","GB"
,"Keith Pough",4500,"LB","CLE"
,"Ted Ginn",4500,"WR","ARI"
,"Rishaw Johnson",4500,"G","WAS"
,"B.J. Cunningham",4500,"WR","CHI"
,"Jalil Brown",4500,"CB","IND"
,"Kyle Nelson",4500,"TE","SF"
,"Garrett Scott",4500,"T","SEA"
,"Tony Washington",4500,"WR","JAC"
,"Nick McDonald",4500,"OL","CLE"
